recipe_id,food_id,quantity
Ratatouille provençale,20034,400
Ratatouille provençale,13004,400
Ratatouille provençale,20053,450
Ratatouille provençale,20021,1250
Ratatouille provençale,20047,600
Ratatouille provençale,20168,80
Ratatouille provençale,17270,10
Ratatouille provençale,11015,1
Ratatouille provençale,11058,1
Poulet curry et oignons,36017,680
Poulet curry et oignons,20034,200
Poulet curry et oignons,18041,25
Poulet curry et oignons,11005,5
Poulet curry et oignons,11042,5
Poulet curry et oignons,20151,1
Poulet curry et oignons,11015,1
Poulet curry et oignons,11058,1
Pâtes carbonara,9816,500
Pâtes carbonara,28725,250
Pâtes carbonara,22000,378
Pâtes carbonara,12120,60
Pâtes carbonara,11015,1
Pâtes carbonara,11058,1
"Quiche poireaux, chèvre lardons",23412,250
"Quiche poireaux, chèvre lardons",20040,450
"Quiche poireaux, chèvre lardons",28725,100
"Quiche poireaux, chèvre lardons",22000,189
"Quiche poireaux, chèvre lardons",18041,20
"Quiche poireaux, chèvre lardons",19039,10
"Quiche poireaux, chèvre lardons",11015,1
"Quiche poireaux, chèvre lardons",11058,1
Galettes bretonnes complètes,23801,80
Galettes bretonnes complètes,22000,126
Galettes bretonnes complètes,28900,80
Galettes bretonnes complètes,12118,40
Clémentine,13082,55
Pomme,13050,150
Eau minérale,18044,500
Banane,13005,120
Tian de légumes du soleil,20002,250
Tian de légumes du soleil,20047,300
Tian de légumes du soleil,11070,1
Tian de légumes du soleil,11000,16
Tian de légumes du soleil,11058,1
Tian de légumes du soleil,11015,1
Petit salé aux lentilles,28550,1200
Petit salé aux lentilles,30104,300
Petit salé aux lentilles,20587,400
Petit salé aux lentilles,11174,10
Petit salé aux lentilles,20008,125
Petit salé aux lentilles,11052,1
Petit salé aux lentilles,11053,1
Croque-monsieur,16400,50
Croque-monsieur,9545,50
Croque-monsieur,19041,1000
Croque-monsieur,11058,1
Croque-monsieur,11015,1
Croque-monsieur,7200,170
Croque-monsieur,12118,80
Croque-monsieur,11013,40
Croque-monsieur,28925,300
Pain,7000,70
Amuse-bouche au camembert et jambon cru,12001,250
Amuse-bouche au camembert et jambon cru,28812,200
Amuse-bouche au camembert et jambon cru,13033,80
Carottes et courgettes râpées aux épices,20009,500
Carottes et courgettes râpées aux épices,20020,250
Carottes et courgettes râpées aux épices,2013,15
Carottes et courgettes râpées aux épices,2028,15
Carottes et courgettes râpées aux épices,11090,15
Carottes et courgettes râpées aux épices,17270,30
Carottes et courgettes râpées aux épices,11058,1
Carottes et courgettes râpées aux épices,11000,40
Carottes et courgettes râpées aux épices,11042,5
Carottes et courgettes râpées aux épices,11025,2
Carottes et courgettes râpées aux épices,11094,0
Carottes et courgettes râpées aux épices,13013,100
Asperges à la milanaise,20279,250
Asperges à la milanaise,22000,240
Asperges à la milanaise,16404,4
Asperges à la milanaise,11017,1
Asperges à la milanaise,11015,1
Salade japonaise,20116,500
Salade japonaise,15038,1
Salade japonaise,11090,30
Salade japonaise,31017,45
Salade japonaise,11058,1
Salade japonaise,11194,30
Salade japonaise,17001,45
Salade japonaise,11104,5
Terrine aux deux saumons,22000,180
Terrine aux deux saumons,19430,20
Terrine aux deux saumons,26037,150
Terrine aux deux saumons,26036,500
Terrine aux deux saumons,11080,45
Terrine aux deux saumons,11058,1
Terrine aux deux saumons,11015,1
Terrine aux deux saumons,11049,5
Rillettes de saumon ,26037,180
Rillettes de saumon ,19646,200
Rillettes de saumon ,11003,100
Rillettes de saumon ,13067,100
Rillettes de saumon ,17270,50
Rillettes de saumon ,11015,32
Oeufs mimosa à la betterave ,22000,378
Oeufs mimosa à la betterave ,20091,60
Oeufs mimosa à la betterave ,19661,50
Oeufs mimosa à la betterave ,11058,10
Oeufs mimosa à la betterave ,11015,10
Gaspacho,20047,1000
Gaspacho,11000,21
Gaspacho,20019,400
Gaspacho,20087,160
Gaspacho,20085,160
Gaspacho,20034,100
Gaspacho,7111,150
Gaspacho,18066,30
Gaspacho,17270,60
Gaspacho,11018,45
Gaspacho,31016,30
Gaspacho,11096,30
Gaspacho,11088,15
Cake au jambon sans gluten ,12114,50
Cake au jambon sans gluten ,22000,189
Cake au jambon sans gluten ,12115,50
Cake au jambon sans gluten ,11046,10
Cake au jambon sans gluten ,19023,250
Cake au jambon sans gluten ,9540,100
Café,18004,10
Jus d'orange,2070,25
Céréales,32003,1
Yaourt,19600,125
Tartines,7300,10
Tartines,16402,5
"Salade de fenouil, menthe et orange",20028,300
"Salade de fenouil, menthe et orange",13034,100
"Salade de fenouil, menthe et orange",31021,15
"Salade de fenouil, menthe et orange",11027,1
"Salade de fenouil, menthe et orange",2013,30
"Salade de fenouil, menthe et orange",17001,15
"Salade de fenouil, menthe et orange",11090,8
"Salade de fenouil, menthe et orange",2007,5
Guacamole maison,13004,300
Guacamole maison,20047,100
Guacamole maison,13009,100
Guacamole maison,11000,8
Guacamole maison,20034,10
Guacamole maison,11017,1
Guacamole maison,11015,1
Gnocchi et pesto de roquette,26264,500
Gnocchi et pesto de roquette,20217,100
Gnocchi et pesto de roquette,17270,50
Gnocchi et pesto de roquette,17220,30
Gnocchi et pesto de roquette,15025,100
Gnocchi et pesto de roquette,11000,8
Gnocchi et pesto de roquette,11058,5
Gnocchi et pesto de roquette,13067,100
Poke bowl quinoa et avocat,9341,750
Poke bowl quinoa et avocat,20171,10
Poke bowl quinoa et avocat,20034,100
Poke bowl quinoa et avocat,20172,270
Poke bowl quinoa et avocat,13004,300
Poke bowl quinoa et avocat,20503,500
Poke bowl quinoa et avocat,11094,45
Poke bowl quinoa et avocat,11110,85
Chili de quinoa,9340,250
Chili de quinoa,20047,540
Chili de quinoa,20066,250
Chili de quinoa,20524,500
Casserole de pois chiches et épinards gratinée,20047,540
Casserole de pois chiches et épinards gratinée,20532,540
Casserole de pois chiches et épinards gratinée,20059,140
Casserole de pois chiches et épinards gratinée,12118,1
Risotto de coquillettes,9810,300
Risotto de coquillettes,11174,10
Risotto de coquillettes,28925,300
Risotto de coquillettes,20084,150
Risotto de coquillettes,19415,40
Risotto de coquillettes,12120,45
Risotto de coquillettes,11003,100
Risotto de coquillettes,11058,1
Risotto de coquillettes,11015,1
Aiguillettes de poulet au curry,36018,500
Aiguillettes de poulet au curry,20034,200
Aiguillettes de poulet au curry,20087,150
Aiguillettes de poulet au curry,19430,45
Aiguillettes de poulet au curry,17440,15
Aiguillettes de poulet au curry,11005,5
Aiguillettes de poulet au curry,11058,1
Aiguillettes de poulet au curry,11015,1
Velouté de courgettes,20020,500
Velouté de courgettes,11174,10
Velouté de courgettes,11000,8
Velouté de courgettes,12356,20
Velouté de courgettes,17270,5
Velouté de courgettes,11003,10
Pommes de terre farcies au mascarpone,4011,600
Pommes de terre farcies au mascarpone,28844,60
Pommes de terre farcies au mascarpone,19584,60
Pommes de terre farcies au mascarpone,11003,30
Pommes de terre farcies au mascarpone,16404,5
Pommes de terre farcies au mascarpone,11048,1
Pommes de terre farcies au mascarpone,11015,1
Toasts d'avocat,13004,600
Toasts d'avocat,7113,120
Toasts d'avocat,17270,1
Toasts d'avocat,2007,1
Oignon rings,20034,200
Oignon rings,9410,75
Oignon rings,7500,75
Oignon rings,22000,60
Salade complète,25604,30
Salade complète,22000,240
Salade complète,7430,20
Salade complète,4011,300
Salade complète,28844,100
Salade complète,12110,50
Salade complète,11058,1
Salade complète,11015,1
Salade complète,17270,5
Salade complète,11018,5
"Salade avocat, courgette, concombre, pamplemousse",20020,400
"Salade avocat, courgette, concombre, pamplemousse",20019,400
"Salade avocat, courgette, concombre, pamplemousse",20028,300
"Salade avocat, courgette, concombre, pamplemousse",13180,400
"Salade avocat, courgette, concombre, pamplemousse",13004,900
"Salade avocat, courgette, concombre, pamplemousse",11033,10
"Salade avocat, courgette, concombre, pamplemousse",17001,45
"Salade avocat, courgette, concombre, pamplemousse",17100,45
"Salade avocat, courgette, concombre, pamplemousse",11090,45
"Salade avocat, courgette, concombre, pamplemousse",20151,15
"Salade avocat, courgette, concombre, pamplemousse",11015,1
"Jus céleri, poire et coriandre",20023,230
"Jus céleri, poire et coriandre",13037,180
"Jus céleri, poire et coriandre",11094,5
"Jus épinards, pomme granny et persil",20019,200
"Jus épinards, pomme granny et persil",13039,150
"Jus épinards, pomme granny et persil",11014,5
"Jus épinards, pomme granny et persil",20059,100
"Jus ananas, poire et citron vert",13002,300
"Jus ananas, poire et citron vert",13067,50
"Jus ananas, poire et citron vert",13037,120
"Jus carotte, mangue et gingembre",13025,400
"Jus carotte, mangue et gingembre",20009,800
"Jus carotte, mangue et gingembre",11074,4
"Salade fenouils, carottes et abricots",20028,600
"Salade fenouils, carottes et abricots",20009,600
"Salade fenouils, carottes et abricots",13000,600
"Salade fenouils, carottes et abricots",20020,600
"Salade fenouils, carottes et abricots",20045,180
"Salade fenouils, carottes et abricots",13030,150
"Salade fenouils, carottes et abricots",2007,5
"Salade fenouils, carottes et abricots",11033,3
"Salade fenouils, carottes et abricots",15044,10
"Salade fenouils, carottes et abricots",17270,5
"Salade fenouils, carottes et abricots",11058,1
"Salade fenouils, carottes et abricots",11015,1
Ceviche aux haricots et quinoa,20502,150
Ceviche aux haricots et quinoa,20503,150
Ceviche aux haricots et quinoa,9341,150
Ceviche aux haricots et quinoa,20034,100
Ceviche aux haricots et quinoa,20087,80
Ceviche aux haricots et quinoa,13009,120
Ceviche aux haricots et quinoa,17270,60
Ceviche aux haricots et quinoa,11094,25
Ceviche aux haricots et quinoa,11083,1
Tartare de légumes et kakis,20028,600
Tartare de légumes et kakis,20069,500
Tartare de légumes et kakis,13066,500
Tartare de légumes et kakis,20034,100
Tartare de légumes et kakis,11074,5
Tartare de légumes et kakis,11000,8
Tartare de légumes et kakis,20151,15
Tartare de légumes et kakis,11094,15
Tartare de légumes et kakis,11003,15
Tartare de légumes et kakis,17400,45
Tartare de légumes et kakis,13067,100
"Verrines avocat, fromage et saumon fumé",13004,600
"Verrines avocat, fromage et saumon fumé",2007,10
"Verrines avocat, fromage et saumon fumé",11058,1
"Verrines avocat, fromage et saumon fumé",11015,1
"Verrines avocat, fromage et saumon fumé",19661,250
"Verrines avocat, fromage et saumon fumé",19410,30
"Verrines avocat, fromage et saumon fumé",11014,30
"Verrines avocat, fromage et saumon fumé",11003,30
"Verrines avocat, fromage et saumon fumé",26037,130
"Verrines avocat, fromage et saumon fumé",13004,1
Tartare de tomate,20047,800
Tartare de tomate,11033,10
Tartare de tomate,17270,15
Tartare de tomate,11091,15
Tartare de tomate,11058,1
Tartare de tomate,11015,1
Pita au gigot d’agneau et chou rouge,21502,300
Pita au gigot d’agneau et chou rouge,20014,300
Pita au gigot d’agneau et chou rouge,31008,5
Pita au gigot d’agneau et chou rouge,11090,10
Pita au gigot d’agneau et chou rouge,11035,1
Pita au gigot d’agneau et chou rouge,11026,5
Pita au gigot d’agneau et chou rouge,7180,400
Pita au gigot d’agneau et chou rouge,13004,300
Pita au gigot d’agneau et chou rouge,20034,50
Pita au gigot d’agneau et chou rouge,11094,5
Pita au gigot d’agneau et chou rouge,2030,10
Spaghetti aux endives sautées,9810,500
Spaghetti aux endives sautées,20026,200
Spaghetti aux endives sautées,20097,40
Spaghetti aux endives sautées,28844,100
Spaghetti aux endives sautées,17270,60
Spaghetti aux endives sautées,31016,15
Spaghetti aux endives sautées,12120,100
Spaghetti aux endives sautées,11015,1
Endives grillées à l’orange et au paprika,20026,400
Endives grillées à l’orange et au paprika,2007,10
Endives grillées à l’orange et au paprika,17270,30
Endives grillées à l’orange et au paprika,31016,30
Endives grillées à l’orange et au paprika,11091,30
Endives grillées à l’orange et au paprika,11002,100
Endives grillées à l’orange et au paprika,19860,300
Endives grillées à l’orange et au paprika,13034,200
Endives grillées à l’orange et au paprika,11049,5
Endives grillées à l’orange et au paprika,17270,15
Endives grillées à l’orange et au paprika,11015,1
